P_hotspot,prediction,true_label
1.0657532997389371e-13,0,0.0
5.889663810116614e-14,0,0.0
2.340724264802064e-12,0,0.0
3.884252830227494e-11,0,0.0
5.106714099274484e-15,0,0.0
7.376958734956158e-08,0,0.0
6.223241586619449e-16,0,0.0
1.2354354061586334e-10,0,0.0
3.1195035307515116e-13,0,0.0
6.044144180863907e-15,0,0.0
8.50823884535292e-12,0,0.0
4.766057423103064e-14,0,0.0
2.7218415319877386e-08,0,0.0
2.4600527017028286e-12,0,0.0
1.0953618675061688e-09,0,0.0
2.0096346264463676e-13,0,0.0
5.518130261853112e-10,0,0.0
4.683029420323819e-10,0,0.0
5.176616591056335e-17,0,0.0
9.913538757102307e-16,0,0.0
1.941698482527539e-13,0,0.0
5.2000558782448166e-14,0,0.0
3.892014044036416e-16,0,0.0
5.097563126336934e-21,0,0.0
6.471043811243487e-14,0,0.0
3.5601876392084517e-16,0,0.0
4.7454583758189275e-12,0,0.0
3.180050760752162e-11,0,0.0
1.5080323776255455e-20,0,0.0
2.1468331307551877e-08,0,0.0
2.6472529780405745e-14,0,0.0
9.889313053208306e-10,0,0.0
2.526338087816142e-10,0,0.0
3.3247735032661746e-14,0,0.0
3.891931642023242e-11,0,0.0
7.268720662776017e-15,0,0.0
4.285196637417648e-15,0,0.0
1.7267176146402302e-13,0,0.0
3.0924712912132413e-13,0,0.0
3.120570194352653e-18,0,0.0
3.452428915356435e-13,0,0.0
1.1846625782582886e-13,0,0.0
5.392435130090741e-08,0,0.0
1.9689831982983357e-10,0,0.0
2.10789189865664e-05,0,0.0
1.4870292883756267e-20,0,0.0
4.588852027853598e-13,0,0.0
1.451160360254114e-10,0,0.0
9.175436465681186e-14,0,0.0
4.238826714325393e-18,0,0.0
6.797291144650208e-06,0,0.0
1.591993094912394e-10,0,0.0
8.665644103692388e-10,0,0.0
2.0387115699302267e-16,0,0.0
1.0064084553797816e-14,0,0.0
3.020629549966602e-13,0,0.0
4.546409934255482e-16,0,0.0
5.935982730491982e-13,0,0.0
8.527382204716425e-15,0,0.0
1.0491930271125106e-16,0,0.0
2.712648999102931e-20,0,0.0
1.384881721401529e-11,0,0.0
3.9617467916438923e-17,0,0.0
1.9285426378168126e-10,0,0.0
1.1873975994080872e-10,0,0.0
3.137797488954531e-13,0,0.0
1.2592661964382701e-12,0,0.0
1.313491086252882e-13,0,0.0
5.715550760085055e-15,0,0.0
2.3842823239929306e-13,0,0.0
1.0705558339337758e-11,0,0.0
3.3161593541728456e-13,0,0.0
9.594164077140757e-13,0,0.0
2.7747049961932344e-16,0,0.0
1.8013025366953557e-13,0,0.0
1.274260686881011e-18,0,0.0
6.720562223810728e-16,0,0.0
1.2937962740957275e-15,0,0.0
8.734996227787442e-12,0,0.0
1.8610783436458075e-10,0,0.0
1.2651107898111518e-15,0,0.0
9.022629798708741e-15,0,0.0
1.3529926078028043e-09,0,0.0
3.4666023563750405e-12,0,0.0
